id,word,fre,trans
1,will,7.232421791415243,将
2,eu,5.86296914452005,欧盟
4,britain,4.022767150254633,英国
6,they,3.979971755039158,他们
7,their,3.55201780288441,他们的
8,brexit,3.46642701245346,脱欧
9,its,3.46642701245346,它的
10,more,3.1668592459451363,更
11,vote,3.1668592459451363,投票
12,his,3.0812684555141865,他的
14,leave,2.781700689005863,离开
18,all,2.4393375272820648,全部
19,referendum,2.2681559464201655,公投
20,european,2.2681559464201655,欧洲人
21,who,2.2253605512046906,谁
22,mr,2.1397697607737407,先生
23,he,2.096974365558266,他
24,remain,1.9685881799118414,留欧
25,some,1.7974065990499422,有些
26,europe,1.7546112038344674,欧洲
27,we,1.7546112038344674,我们
28,voters,1.6690204134035178,选民
31,what,1.6262250181880429,什么
32,most,1.6262250181880429,多数
33,such,1.6262250181880429,如此
34,our,1.5834296229725682,我们的
35,people,1.5406342277570932,人民
36,other,1.4978388325416185,其他
37,british,1.4550434373261436,英国人
38,markets,1.4550434373261436,市场
39,likely,1.4550434373261436,可能的
40,now,1.4550434373261436,现在
41,first,1.4550434373261436,第一
42,when,1.412248042110669,何时
43,just,1.412248042110669,只是
44,could,1.369452646895194,能够
45,much,1.369452646895194,很多
46,even,1.3266572516797193,甚至
47,year,1.3266572516797193,年
48,new,1.3266572516797193,新的
49,years,1.3266572516797193,年份
50,union,1.2838618564642443,联盟
51,minister,1.2838618564642443,部长
52,campaign,1.2410664612487696,选战
53,only,1.2410664612487696,只有
54,also,1.2410664612487696,也
56,trade,1.2410664612487696,贸易
57,london,1.2410664612487696,伦敦
58,financial,1.2410664612487696,财政
59,banks,1.2410664612487696,银行
60,country,1.198271066033295,国家
61,market,1.198271066033295,市场
62,economy,1.198271066033295,经济
63,bank,1.198271066033295,银行
65,how,1.15547567081782,如何
68,two,1.1126802756023453,两个
70,less,1.1126802756023453,较少
72,rates,1.1126802756023453,利率
73,independence,1.1126802756023453,独立
74,too,1.0698848803868704,也
75,june,1.0698848803868704,六月
78,polls,1.0270894851713956,民调
79,cameron,1.0270894851713956,卡梅伦
80,long,0.9842940899559207,长
81,political,0.9842940899559207,政治
83,many,0.9842940899559207,许多
84,still,0.941498694740446,仍
85,said,0.941498694740446,说
86,last,0.941498694740446,最后
87,turnout,0.941498694740446,投票人数
88,any,0.8987032995249711,任何
89,result,0.8987032995249711,结果
91,party,0.8987032995249711,党派
92,hard,0.8559079043094963,困难
93,election,0.8559079043094963,选举
94,own,0.8559079043094963,拥有
95,yet,0.8559079043094963,然而
97,well,0.8559079043094963,好
98,free,0.8559079043094963,自由
99,big,0.8131125090940214,大
100,point,0.8131125090940214,点
101,uncertainty,0.8131125090940214,不确定性
102,brussels,0.8131125090940214,布鲁塞尔
103,euro,0.8131125090940214,欧元
104,forecasts,0.8131125090940214,预测
105,day,0.7703171138785466,天
106,among,0.7703171138785466,其中
107,come,0.7703171138785466,来
108,where,0.7703171138785466,哪里
109,world,0.7703171138785466,世界
110,deal,0.7703171138785466,协议
113,england,0.7703171138785466,英格兰
116,early,0.7275217186630718,早
117,results,0.7275217186630718,结果
118,see,0.7275217186630718,看见
120,should,0.7275217186630718,应该
121,age,0.7275217186630718,年龄
122,interest,0.7275217186630718,利息
123,might,0.7275217186630718,可能
124,billion,0.7275217186630718,十亿
125,want,0.684726323447597,想要
126,stay,0.684726323447597,保持
127,become,0.684726323447597,成为
128,high,0.684726323447597,高
129,recent,0.684726323447597,近来
130,video,0.684726323447597,视频
132,each,0.6419309282321222,每个
133,put,0.6419309282321222,放
134,lead,0.6419309282321222,引领
135,same,0.6419309282321222,相同
138,government,0.6419309282321222,政府
139,share,0.6419309282321222,分享
140,side,0.6419309282321222,侧面
141,single,0.6419309282321222,单独
142,little,0.6419309282321222,一点
143,expected,0.6419309282321222,期望
144,public,0.5991355330166475,大众
145,short,0.5991355330166475,短
146,scotland,0.5991355330166475,苏格兰
147,very,0.5991355330166475,非常
148,far,0.5991355330166475,远
149,time,0.5991355330166475,时间
150,probably,0.5991355330166475,也许
151,pound,0.5991355330166475,英镑
153,fall,0.5991355330166475,掉落
154,go,0.5991355330166475,去
155,impact,0.5991355330166475,影响
156,already,0.5991355330166475,已经
157,leader,0.5991355330166475,领导
158,often,0.5563401378011726,经常
159,both,0.5563401378011726,两者都
160,change,0.5563401378011726,改变
161,think,0.5563401378011726,认为
162,future,0.5563401378011726,未来
163,past,0.5563401378011726,过去
164,you,0.5563401378011726,你
165,access,0.5563401378011726,加入
166,read,0.5563401378011726,读
167,run,0.5563401378011726,跑
169,outcome,0.5563401378011726,后果
171,must,0.5563401378011726,必须
172,david,0.5563401378011726,戴维
174,investment,0.5563401378011726,投资
175,rate,0.5563401378011726,比率
176,months,0.5563401378011726,月份
177,conservative,0.5563401378011726,保守党
179,safety,0.5563401378011726,安全
180,seems,0.5135447425856978,看似
182,half,0.5135447425856978,一半
183,second,0.5135447425856978,第二
184,figures,0.5135447425856978,人物
185,coverage,0.5135447425856978,报道
186,small,0.5135447425856978,小
187,though,0.5135447425856978,尽管
188,take,0.5135447425856978,采取
189,she,0.5135447425856978,她
190,rather,0.5135447425856978,相当
191,support,0.5135447425856978,支持
192,german,0.5135447425856978,德国人
194,higher,0.5135447425856978,更高
195,however,0.5135447425856978,但是
196,corbyn,0.5135447425856978,科尔宾
197,online,0.470749347370223,在线
198,better,0.470749347370223,更好
199,similar,0.470749347370223,相似
200,business,0.470749347370223,商业
202,currency,0.470749347370223,货币
203,crisis,0.470749347370223,危机
206,imf,0.470749347370223,国际货币基金组织
207,spending,0.470749347370223,花钱
208,supporters,0.470749347370223,支持者
209,biggest,0.470749347370223,最大
210,member,0.470749347370223,成员
211,old,0.470749347370223,旧
212,bond,0.470749347370223,债券
213,central,0.470749347370223,中心
214,work,0.470749347370223,工作
215,area,0.470749347370223,区域
216,low,0.470749347370223,低
217,ever,0.470749347370223,曾经
218,counting,0.470749347370223,计数
219,lower,0.42795395215474813,更低
220,another,0.42795395215474813,另一个
221,sterling,0.42795395215474813,英镑
222,number,0.42795395215474813,数字
223,way,0.42795395215474813,途径
224,right,0.42795395215474813,正确
226,experts,0.42795395215474813,专家
227,place,0.42795395215474813,地点
228,towards,0.42795395215474813,朝向
229,recession,0.42795395215474813,萧条
230,class,0.42795395215474813,阶级
231,next,0.42795395215474813,下一个
