id,word,fre,trans
1,eu,9.505402097440278,欧盟,
2,we,7.216004649537942,我们,
4,he,5.824755431754884,他,
6,i,5.085103947765388,我,
7,leave,4.856164202629285,离开,
10,britain,3.8611568501413265,英国,
11,vote,3.8435461005397693,投票,
12,brexit,3.6630359171238123,脱欧,
13,our,3.6322171053210877,我们的,
14,people,3.2491833014872276,人民,
15,remain,3.2403779266864494,留欧,
16,they,3.2227671770848922,他们,
17,uk,3.143518803877887,英国,
18,referendum,3.1082973046747737,公投,
19,who,3.0202435566669896,谁,
20,his,2.9409951834599837,他的,
21,their,2.7340688756416918,他们的,
22,european,2.7032500638389676,欧洲人,
23,you,2.6372097528331295,你,
24,been,2.628404378032351,曾经,
27,more,2.355437759208221,更,
28,mr,2.2982028230031615,先生,
29,country,2.13970607658915,国家,
30,all,2.126498014387982,全部,
31,also,2.0692630781829227,也,
32,europe,2.047249641180977,欧洲,
33,can,2.0384442663801985,能够,
35,what,1.9327797687708577,什么,
36,campaign,1.8887528947669656,活动,
38,per,1.849128708163463,每,
39,minister,1.849128708163463,部长,
40,british,1.8139072089603494,英国人,
43,cameron,1.7698803349564576,卡梅伦,
44,its,1.765477647556068,它的,
45,cent,1.6818265869486735,分,
46,now,1.628994338144003,现在,
47,prime,1.4837056539311595,首要的,
48,us,1.4176653429253216,我们,
49,should,1.4132626555249326,应该,
50,just,1.3692357815210405,只是,
51,when,1.3648330941206515,何时,
52,think,1.3560277193198729,认为,
53,union,1.2987927831148132,联盟,
54,she,1.294390095714424,她,
55,brussels,1.2855847209136455,布鲁塞尔,
56,year,1.2679739713120888,年,
57,last,1.2635712839116997,最后,
59,only,1.1975309729058619,只有,
60,voters,1.1799202233043051,选民,
61,world,1.1711148485035265,世界,
62,time,1.1050745374976887,时间,
63,result,1.0742557256949643,结果,
64,other,1.0654503508941857,其他,
65,david,1.0610476634937966,戴维,
66,very,1.052242288693018,非常,
67,leader,1.047839601292629,领导,
68,get,1.04343691389224,得到,
70,make,1.0302288516910723,使,
71,take,1.021423476890294,采取,
72,way,1.021423476890294,途径,
73,like,1.021423476890294,像,
74,want,0.9773966028864017,想要,
75,added,0.9641885406852343,增加,
77,years,0.9377724162828991,年份,
78,many,0.9377724162828991,许多,
79,most,0.9377724162828991,多数,
81,immigration,0.9157589792809531,移民,
82,farage,0.9025509170797855,法拉奇,
83,day,0.8981482296793962,天,
84,some,0.8893428548786179,有些,
85,control,0.8805374800778395,控制,
88,told,0.8629267304762828,告诉,
89,going,0.8585240430758935,走向,
90,first,0.8541213556755044,第一,
91,my,0.8541213556755044,我的,
92,government,0.8409132934743367,政府,
93,own,0.8365106060739474,拥有,
95,political,0.8277052312731691,政治的,
96,how,0.82330254387278,如何,
97,stay,0.82330254387278,保持,
98,any,0.82330254387278,任何,
99,mp,0.8188998564723907,议员,
100,party,0.8100944816716124,党派,
101,two,0.8056917942712231,两个,
103,right,0.7836783572692773,正确,
104,today,0.7836783572692773,今天,
105,economy,0.7704702950681096,经济,
106,former,0.7704702950681096,前任,
108,member,0.7352487958649959,成员,
110,even,0.7220407336638285,甚至,
111,see,0.7176380462634392,看见,
113,where,0.7176380462634392,哪里,
114,london,0.71323535886305,伦敦,
115,decision,0.7088326714626608,决定,
116,believe,0.7088326714626608,相信,
117,part,0.7044299840622715,部分,
118,future,0.7000272966618825,未来,
119,debate,0.6956246092614932,辩论,
120,much,0.6956246092614932,很多,
121,week,0.6912219218611041,星期,
123,public,0.6912219218611041,大众,
124,support,0.6868192344607148,支持,
126,market,0.6692084848591581,市场,
127,saying,0.6648057974587688,格言,
128,need,0.6515977352576013,需要,
129,free,0.6515977352576013,自由,
130,tory,0.647195047857212,保守党,
131,your,0.647195047857212,你的,
132,why,0.6383896730564337,为什么,
134,put,0.625181610855266,放,
135,thursday,0.620778923454877,星期四,
137,must,0.6163762360544877,必须,
138,well,0.6075708612537093,好,
140,know,0.5987654864529309,知道,
141,bloc,0.5943627990525416,阵营,
143,work,0.5943627990525416,工作,
144,membership,0.5899601116521526,成员资格,
145,turkey,0.5899601116521526,土耳其,
146,polling,0.5899601116521526,民调,
147,england,0.5855574242517633,英格兰,
149,scotland,0.5855574242517633,苏格兰,
150,june,0.5811547368513741,六月,
151,here,0.5723493620505956,这里,
152,next,0.5679466746502065,下一个,
153,morning,0.5635439872498172,早晨,
155,ukip,0.5547386124490389,英国独立党,
156,united,0.5459332376482605,联合,
157,called,0.5459332376482605,叫作,
158,change,0.5415305502478712,改变,
159,bank,0.5371278628474822,银行,
160,cox,0.5327251754470929,考克斯,
162,votes,0.5283224880467038,选票,
163,states,0.5239198006463145,州,
164,financial,0.5151144258455361,财政,
165,johnson,0.510711738445147,约翰逊,
166,commission,0.510711738445147,委员会,
167,great,0.510711738445147,伟大,
169,long,0.5063090510447578,长,
170,better,0.4931009888435901,更好,
171,never,0.4931009888435901,从不,
172,still,0.4931009888435901,仍,
173,osborne,0.4931009888435901,奥斯本,
174,parliament,0.48869830144320087,国会,
176,both,0.48429561404281174,两者都,
178,euro,0.4798929266424225,欧元,
179,trade,0.4798929266424225,贸易,
181,number,0.4754902392420333,数字,
182,place,0.47108755184164414,地点,
183,million,0.47108755184164414,百万,
184,national,0.47108755184164414,全国性的,
186,deal,0.46668486444125495,协议,
187,pound,0.46228217704086577,英镑,
188,every,0.45787948964047653,每个,
189,warned,0.45347680224008735,警告,
190,camp,0.45347680224008735,营地,
191,become,0.45347680224008735,成为,
192,group,0.45347680224008735,组,
193,money,0.4490741148396981,钱,
194,open,0.4490741148396981,开,
195,three,0.4490741148396981,三个,
196,borders,0.44467142743930893,边境,
197,far,0.44467142743930893,远,
198,policy,0.44467142743930893,政策,
200,jo,0.44467142743930893,乔,
201,it's,0.44467142743930893,它是,
202,independence,0.44467142743930893,独立,
203,things,0.44467142743930893,事物,
204,left,0.44026874003891975,左,
205,historic,0.44026874003891975,历史的,
206,twitter,0.44026874003891975,推特,
207,end,0.43586605263853057,结束,
208,without,0.43586605263853057,缺乏,
209,away,0.43586605263853057,离开,
210,too,0.43586605263853057,也,
211,movement,0.4270606778377522,移动,
212,same,0.4270606778377522,一样,
214,happen,0.4270606778377522,发生,
215,another,0.42265799043736296,另一个,
216,crisis,0.4182553030369737,危机,
218,point,0.4182553030369737,点,
219,asked,0.41385261563658454,问,
220,came,0.40944992823619536,来,
221,side,0.40944992823619536,侧面,
222,children,0.40944992823619536,儿童,
224,german,0.4050472408358062,德国,
225,campaigners,0.4050472408358062,选战人员,
227,democracy,0.400644553435417,民主,
